id;aciklama;created_by;created_date
1;T.C. Ziraat Bankası;admin;now
2;T.Halkbankası;admin;now
3;T.Vakıflar Bankası;admin;now
4;Adabank A.Ş.;admin;now
5;Akbank T.A.Ş.;admin;now
6;Anadolubank A.Ş.;admin;now
7;Fibabanka A.Ş.;admin;now
8;Şekerbank T.A.Ş.;admin;now
9;Turkish Bank A.Ş.;admin;now
10;Türk Ekonomi Bankası A.Ş.;admin;now
11;Türkiye İş Bankası A.Ş.;admin;now
12;Yapı ve Kredi Bankası A.Ş.;admin;now
13;Birleşik Fon Bankası A.Ş.;admin;now
14;Alternatifbank A.Ş.;admin;now
15;Arap Türk Bankası A.Ş.;admin;now
16;Bank of Tokyo-Mitsubishi UFJ Turkey A.Ş.;admin;now
17;Burgan Bank A.Ş.;admin;now
18;Citibank A.Ş.;admin;now
19;Denizbank A.Ş.;admin;now
20;Deutsche Bank A.Ş.;admin;now
21;Finans Bank A.Ş.;admin;now
22;HSBC Bank A.Ş.;admin;now
23;ICBC Turkey Bank A.Ş.;admin;now
24;ING Bank A.Ş.;admin;now
25;Odea Bank A.Ş.;admin;now
26;Rabobank A.Ş.;admin;now
27;Turkland Bank A.Ş.;admin;now
28;Türkiye Garanti Bankası A.Ş.;admin;now
29;Bank Mellat;admin;now
30;Habib Bank Limited;admin;now
31;Intesa Sanpaolo S.P.A.;admin;now
32;JPMorgan Chase Bank N.A.;admin;now
33;Société Générale (SA);admin;now
34;The Royal Bank of Scotland Plc.;admin;now
35;İller Bankası A.Ş.;admin;now
36;Türk Eximbank;admin;now
37;Türkiye Kalkınma Bankası A.Ş.;admin;now
38;Aktif Yatırım Bankası A.Ş.;admin;now
39;Diler Yatırım Bankası A.Ş.;admin;now
40;GSD Yatırım Bankası A.Ş.;admin;now
41;İstanbul Takas ve Saklama Bankası A.Ş.;admin;now
42;Nurol Yatırım Bankası A.Ş.;admin;now
43;Türkiye Sınai Kalkınma Bankası A.Ş.;admin;now
44;BankPozitif Kredi ve Kalkınma Bankası A.Ş.;admin;now
45;Merrill Lynch Yatırım Bank A.Ş.;admin;now
46;Pasha Yatırım Bankası A.Ş.;admin;now
47;Standard Chartered Yatırım Bankası Türk A.Ş.;admin;now
