id;il_id;aciklama;created_by;created_date
1;1;Seyhan;admin;now
2;1;Ceyhan;admin;now
3;1;Feke;admin;now
4;1;Karaisalı;admin;now
5;1;Karataş;admin;now
6;1;Kozan;admin;now
7;1;Pozantı;admin;now
8;1;Saimbeyli;admin;now
9;1;Tufanbeyli;admin;now
10;1;Yumurtalık;admin;now
11;1;Yüreğir;admin;now
12;1;Aladağ;admin;now
13;1;İmamoğlu;admin;now
14;1;Sarıçam;admin;now
15;1;Çukurova;admin;now
16;2;Adıyaman Merkez;admin;now
17;2;Besni;admin;now
18;2;Çelikhan;admin;now
19;2;Gerger;admin;now
20;2;Gölbaşı / Adıyaman;admin;now
21;2;Kahta;admin;now
22;2;Samsat;admin;now
23;2;Sincik;admin;now
24;2;Tut;admin;now
25;3;Afyonkarahisar Merkez;admin;now
26;3;Bolvadin;admin;now
27;3;Çay;admin;now
28;3;Dazkırı;admin;now
29;3;Dinar;admin;now
30;3;Emirdağ;admin;now
31;3;İhsaniye;admin;now
32;3;Sandıklı;admin;now
33;3;Sinanpaşa;admin;now
34;3;Sultandağı;admin;now
35;3;Şuhut;admin;now
36;3;Başmakçı;admin;now
37;3;Bayat / Afyonkarahisar;admin;now
38;3;İscehisar;admin;now
39;3;Çobanlar;admin;now
40;3;Evciler;admin;now
41;3;Hocalar;admin;now
42;3;Kızılören;admin;now
43;4;Ağrı Merkez;admin;now
44;4;Diyadin;admin;now
45;4;Doğubayazıt;admin;now
46;4;Eleşkirt;admin;now
47;4;Hamur;admin;now
48;4;Patnos;admin;now
49;4;Taşlıçay;admin;now
50;4;Tutak;admin;now
51;5;Amasya Merkez;admin;now
52;5;Göynücek;admin;now
53;5;Gümüşhacıköy;admin;now
54;5;Merzifon;admin;now
55;5;Suluova;admin;now
56;5;Taşova;admin;now
57;5;Hamamözü;admin;now
58;6;Altındağ;admin;now
59;6;Ayaş;admin;now
60;6;Bala;admin;now
61;6;Beypazarı;admin;now
62;6;Çamlıdere;admin;now
63;6;Çankaya;admin;now
64;6;Çubuk;admin;now
65;6;Elmadağ;admin;now
66;6;Güdül;admin;now
67;6;Haymana;admin;now
68;6;Kalecik;admin;now
69;6;Kızılcahamam;admin;now
70;6;Nallıhan;admin;now
71;6;Polatlı;admin;now
72;6;Şereflikoçhisar;admin;now
73;6;Yenimahalle;admin;now
74;6;Gölbaşı / Ankara;admin;now
75;6;Keçiören;admin;now
76;6;Mamak;admin;now
77;6;Sincan;admin;now
78;6;Kazan;admin;now
79;6;Akyurt;admin;now
80;6;Etimesgut;admin;now
81;6;Evren;admin;now
82;6;Pursaklar;admin;now
83;7;Akseki;admin;now
84;7;Alanya;admin;now
85;7;Elmalı;admin;now
86;7;Finike;admin;now
87;7;Gazipaşa;admin;now
88;7;Gündoğmuş;admin;now
89;7;Kaş;admin;now
90;7;Korkuteli;admin;now
91;7;Kumluca;admin;now
92;7;Manavgat;admin;now
93;7;Serik;admin;now
94;7;Demre;admin;now
95;7;İbradı;admin;now
96;7;Kemer / Antalya;admin;now
97;7;Aksu / Antalya;admin;now
98;7;Döşemealtı;admin;now
99;7;Kepez;admin;now
100;7;Konyaaltı;admin;now
101;7;Muratpaşa;admin;now
102;8;Ardanuç;admin;now
103;8;Arhavi;admin;now
104;8;Artvin Merkez;admin;now
105;8;Borçka;admin;now
106;8;Hopa;admin;now
107;8;Şavşat;admin;now
108;8;Yusufeli;admin;now
109;8;Murgul;admin;now
110;9;Bozdoğan;admin;now
111;9;Çine;admin;now
112;9;Germencik;admin;now
113;9;Karacasu;admin;now
114;9;Koçarlı;admin;now
115;9;Kuşadası;admin;now
116;9;Kuyucak;admin;now
117;9;Nazilli;admin;now
118;9;Söke;admin;now
119;9;Sultanhisar;admin;now
120;9;Yenipazar / Aydın;admin;now
121;9;Buharkent;admin;now
122;9;İncirliova;admin;now
123;9;Karpuzlu;admin;now
124;9;Köşk;admin;now
125;9;Didim;admin;now
126;9;Efeler;admin;now
127;10;Ayvalık;admin;now
128;10;Balya;admin;now
129;10;Bandırma;admin;now
130;10;Bigadiç;admin;now
131;10;Burhaniye;admin;now
132;10;Dursunbey;admin;now
133;10;Edremit / Balıkesir;admin;now
134;10;Erdek;admin;now
135;10;Gönen / Balıkesir;admin;now
136;10;Havran;admin;now
137;10;İvrindi;admin;now
138;10;Kepsut;admin;now
139;10;Manyas;admin;now
140;10;Savaştepe;admin;now
141;10;Sındırgı;admin;now
142;10;Susurluk;admin;now
143;10;Marmara;admin;now
144;10;Gömeç;admin;now
145;10;Altıeylül;admin;now
146;10;Karesi;admin;now
147;11;Bilecik Merkez;admin;now
148;11;Bozüyük;admin;now
149;11;Gölpazarı;admin;now
150;11;Osmaneli;admin;now
151;11;Pazaryeri;admin;now
152;11;Söğüt;admin;now
153;11;Yenipazar / Bilecik;admin;now
154;11;İnhisar;admin;now
155;12;Bingöl Merkez;admin;now
156;12;Genç;admin;now
157;12;Karlıova;admin;now
158;12;Kiğı;admin;now
159;12;Solhan;admin;now
160;12;Adaklı;admin;now
161;12;Yayladere;admin;now
162;12;Yedisu;admin;now
163;13;Adilcevaz;admin;now
164;13;Ahlat;admin;now
165;13;Bitlis Merkez;admin;now
166;13;Hizan;admin;now
167;13;Mutki;admin;now
168;13;Tatvan;admin;now
169;13;Güroymak;admin;now
170;14;Bolu Merkez;admin;now
171;14;Gerede;admin;now
172;14;Göynük;admin;now
173;14;Kıbrıscık;admin;now
174;14;Mengen;admin;now
175;14;Mudurnu;admin;now
176;14;Seben;admin;now
177;14;Dörtdivan;admin;now
178;14;Yeniçağa;admin;now
179;15;Ağlasun;admin;now
180;15;Bucak;admin;now
181;15;Burdur Merkez;admin;now
182;15;Gölhisar;admin;now
183;15;Tefenni;admin;now
184;15;Yeşilova;admin;now
185;15;Karamanlı;admin;now
186;15;Kemer / Burdur;admin;now
187;15;Altınyayla / Burdur;admin;now
188;15;Çavdır;admin;now
