id;aciklama;kategori_id;durum;created_by;created_date
368;Aksesuar;;AKTIF;admin;now
403;Ayakkabı;;AKTIF;admin;now
522;Giyim;;AKTIF;admin;now
758;Ev & Mobilya;;AKTIF;admin;now
1070;Kozmetik & Kişisel Bakım;;AKTIF;admin;now
1071;Elektronik;;AKTIF;admin;now
1219;Süpermarket;;AKTIF;admin;now
2859;Yaşam;;AKTIF;admin;now
2862;Anne & Bebek & Çocuk;;AKTIF;admin;now
3186;Spor & Outdoor;;AKTIF;admin;now
387;Saat;368;AKTIF;admin;now
394;Şapka;368;AKTIF;admin;now
396;Takı & Mücevher;368;AKTIF;admin;now
435;Çanta;368;AKTIF;admin;now
1162;Atkı & Bere & Eldiven;368;AKTIF;admin;now
1165;Kemer & Pantolon Askısı;368;AKTIF;admin;now
1166;Kravat & Kol Düğmesi;368;AKTIF;admin;now
1228;Altın;368;AKTIF;admin;now
2872;Diğer Aksesuar;368;AKTIF;admin;now
2875;Şal & Fular & Eşarp;368;AKTIF;admin;now
2876;Gözlük;368;AKTIF;admin;now
2878;Saç Aksesuarı;368;AKTIF;admin;now
3074;Aksesuar Set;368;AKTIF;admin;now
3243;Saat Seti;368;AKTIF;admin;now
406;Bot & Çizme;403;AKTIF;admin;now
417;Sandalet ve Terlik;403;AKTIF;admin;now
420;Spor Ayakkabı;403;AKTIF;admin;now
430;Topuklu Ayakkabı;403;AKTIF;admin;now
1170;Ev Terliği & Botu;403;AKTIF;admin;now
1171;Günlük Ayakkabı;403;AKTIF;admin;now
3255;Ayakkabı Bakım Malzemeleri;403;AKTIF;admin;now
543;Abiye & Mezuniyet Elbisesi;522;AKTIF;admin;now
548;Gelinlik;522;AKTIF;admin;now
549;İç Giyim;522;AKTIF;admin;now
576;Plaj Giyim;522;AKTIF;admin;now
584;Takımlar;522;AKTIF;admin;now
588;Takım Elbise;522;AKTIF;admin;now
596;Forma;522;AKTIF;admin;now
607;Kimono&Kaftan;522;AKTIF;admin;now
1179;Bebek Giyim;522;AKTIF;admin;now
1182;Elbise;522;AKTIF;admin;now
1189;Kostüm;522;AKTIF;admin;now
1192;Salopet & Tulum;522;AKTIF;admin;now
2269;Hamile Giyim;522;AKTIF;admin;now
2332;Mezuniyet Elbisesi;522;AKTIF;admin;now
2729;Tesettür Giyim;522;AKTIF;admin;now
2867;Dış Giyim;522;AKTIF;admin;now
2869;Alt Giyim;522;AKTIF;admin;now
2870;Ev Giyim;522;AKTIF;admin;now
2871;Üst Giyim;522;AKTIF;admin;now
2961;Büyük Beden;522;AKTIF;admin;now
3095;Fantezi Giyim;522;AKTIF;admin;now
3914;İş Kıyafetleri;522;AKTIF;admin;now
452;Banyo;758;AKTIF;admin;now
458;Ev Dekorasyon;758;AKTIF;admin;now
475;Ev Gereçleri;758;AKTIF;admin;now
476;Ev Tekstili;758;AKTIF;admin;now
503;Mobilya;758;AKTIF;admin;now
896;Sofra & Mutfak;758;AKTIF;admin;now
930;Elektrik & Aydınlatma;758;AKTIF;admin;now
641;Makyaj;1070;AKTIF;admin;now
661;Parfüm;1070;AKTIF;admin;now
662;Parfüm Seti;1070;AKTIF;admin;now
670;Vücut Bakımı;1070;AKTIF;admin;now
1201;Ağız Bakım;1070;AKTIF;admin;now
1203;Cilt Bakım;1070;AKTIF;admin;now
1204;Kadın Hijyen;1070;AKTIF;admin;now
1209;Saç Bakım;1070;AKTIF;admin;now
2428;Diğer Kişisel Bakım Ürünleri;1070;AKTIF;admin;now
2430;Tıraş, Ağda ve Epilasyon;1070;AKTIF;admin;now
464;Elektrikli Ev Aletleri;1071;AKTIF;admin;now
760;Foto & Kamera;1071;AKTIF;admin;now
786;Oyun & Oyun Konsolları;1071;AKTIF;admin;now
1054;Telefon;1071;AKTIF;admin;now
1212;Beyaz Eşya;1071;AKTIF;admin;now
1213;Bilgisayar Tablet;1071;AKTIF;admin;now
1215;Giyilebilir Teknoloji;1071;AKTIF;admin;now
1217;Klima & Isıtıcı;1071;AKTIF;admin;now
1221;TV, Görüntü & Ses Sistemleri;1071;AKTIF;admin;now
1222;Yazıcı & Tarayıcı;1071;AKTIF;admin;now
2373;Kişisel Bakım Aletleri;1071;AKTIF;admin;now
2997;Dijital Kod & Ürünler;1071;AKTIF;admin;now
1028;Pet Shop;1219;AKTIF;admin;now
1382;Ev Bakım ve Temizlik;1219;AKTIF;admin;now
1383;Ev Tüketim Malzemeleri;1219;AKTIF;admin;now
1385;Gıda & İçecek;1219;AKTIF;admin;now
1386;Gurme & Organik Ürünler;1219;AKTIF;admin;now
2339;Bebek Beslenme & Emzirme;1219;AKTIF;admin;now
2377;Sağlık;1219;AKTIF;admin;now
2861;Anne & Bebek Bakım;1219;AKTIF;admin;now
2901;Kişisel Bakım;1219;AKTIF;admin;now
685;Hobi & Eğlence;2859;AKTIF;admin;now
687;Kitap;2859;AKTIF;admin;now
790;Otomobil & Motosiklet;2859;AKTIF;admin;now
1216;Kırtasiye & Ofis Malzemeleri;2859;AKTIF;admin;now
2469;Bahçe ve Yapı Market;2859;AKTIF;admin;now
674;Çocuk Gereçleri;2862;AKTIF;admin;now
1010;Oyuncak;2862;AKTIF;admin;now
1067;Bebek Banyo & Tuvalet;2862;AKTIF;admin;now
2164;Bebek Hediyelik;2862;AKTIF;admin;now
1038;Ekipman & Aksesuar;3186;AKTIF;admin;now
3187;Spor Giyim;3186;AKTIF;admin;now
3825;Acil Durum & Güvenlik Ekipman;3186;AKTIF;admin;now
397;Bileklik;396;AKTIF;admin;now
399;Kolye;396;AKTIF;admin;now
400;Küpe;396;AKTIF;admin;now
401;Yüzük;396;AKTIF;admin;now
724;Şahmeran;396;AKTIF;admin;now
725;Halhal & Ayak Aksesuarları;396;AKTIF;admin;now
726;Vücut Aksesuarları;396;AKTIF;admin;now
968;Choker;396;AKTIF;admin;now
1263;Set & Takım;396;AKTIF;admin;now
2253;Bilezik;396;AKTIF;admin;now
3077;Hızma;396;AKTIF;admin;now
3078;Piercing;396;AKTIF;admin;now
3415;Kıkırdak Küpe;396;AKTIF;admin;now
436;Abiye Çanta;435;AKTIF;admin;now
444;Laptop & Evrak Çantası;435;AKTIF;admin;now
446;Portföy & Clutch Çanta;435;AKTIF;admin;now
447;Postacı Çantası;435;AKTIF;admin;now
448;Sırt Çantası;435;AKTIF;admin;now
449;Spor Çantası;435;AKTIF;admin;now
450;Valiz & Bavul;435;AKTIF;admin;now
969;Plaj Çantası;435;AKTIF;admin;now
971;Omuz Çantası;435;AKTIF;admin;now
973;Beslenme Çantası;435;AKTIF;admin;now
974;Okul Çantası;435;AKTIF;admin;now
1784;Bel Çantası;435;AKTIF;admin;now
1806;Cüzdan;435;AKTIF;admin;now
1807;Kartlık;435;AKTIF;admin;now
1855;Çanta Aksesuarları;435;AKTIF;admin;now
2197;El Çantası;435;AKTIF;admin;now
382;Atkı;1162;AKTIF;admin;now
384;Bere;1162;AKTIF;admin;now
385;Eldiven;1162;AKTIF;admin;now
962;Boyunluk;1162;AKTIF;admin;now
1805;Atkı & Bere & Eldiven Set;1162;AKTIF;admin;now
3185;Atkı & Bere Takımı;1162;AKTIF;admin;now
380;Kemer;1165;AKTIF;admin;now
1799;Pantolon Askısı;1165;AKTIF;admin;now
371;Kol Düğmesi;1166;AKTIF;admin;now
373;Mendil;1166;AKTIF;admin;now
1797;Papyon;1166;AKTIF;admin;now
1798;Kravat;1166;AKTIF;admin;now
1229;Tam Altın;1228;AKTIF;admin;now
1230;Yarım Altın;1228;AKTIF;admin;now
1231;Çeyrek Altın;1228;AKTIF;admin;now
1232;Gram Altın;1228;AKTIF;admin;now
1234;Cumhuriyet Altını;1228;AKTIF;admin;now
1236;Reşat Altın;1228;AKTIF;admin;now
1237;Ata Altın;1228;AKTIF;admin;now
3017;Yatırımlık Altın Bilezik;1228;AKTIF;admin;now
369;Diğer Aksesuarlar;2872;AKTIF;admin;now
395;Şemsiye;2872;AKTIF;admin;now
1163;Duvak & Gelin Aksesuarı;2872;AKTIF;admin;now
1823;Tesbih;2872;AKTIF;admin;now
2840;Anahtarlık;2872;AKTIF;admin;now
2873;Geçici Dövme;2872;AKTIF;admin;now
2874;Broş;2872;AKTIF;admin;now
2879;Yaka İğnesi;2872;AKTIF;admin;now
2955;Valiz Kılıfı;2872;AKTIF;admin;now
3076;Peruk;2872;AKTIF;admin;now
3087;Rozet;2872;AKTIF;admin;now
3261;Ayakkabı Bağcığı;2872;AKTIF;admin;now
3407;Saat Kordonu;2872;AKTIF;admin;now
392;Fular;2875;AKTIF;admin;now
393;Şal;2875;AKTIF;admin;now
379;Güneş Gözlüğü;2876;AKTIF;admin;now
2268;İmaj Gözlüğü;2876;AKTIF;admin;now
2877;Gözlük Kabı;2876;AKTIF;admin;now
2956;Gözlük Aksesuarı;2876;AKTIF;admin;now
388;Diğer Saç Aksesuarları;2878;AKTIF;admin;now
1046;Bandana;2878;AKTIF;admin;now
1794;Taç;2878;AKTIF;admin;now
1795;Toka;2878;AKTIF;admin;now
1796;Saç Bandı;2878;AKTIF;admin;now
407;Bot & Bootie;406;AKTIF;admin;now
408;Çizme;406;AKTIF;admin;now
3182;Kar Botu;406;AKTIF;admin;now
418;Sandalet;417;AKTIF;admin;now
419;Terlik;417;AKTIF;admin;now
1026;Deniz Ayakkabısı;417;AKTIF;admin;now
3183;Spor Sandalet;417;AKTIF;admin;now
3184;Spor Terlik;417;AKTIF;admin;now
421;Basketbol Ayakkabısı;420;AKTIF;admin;now
422;Fitness Ayakkabısı;420;AKTIF;admin;now
425;Koşu & Antrenman Ayakkabısı;420;AKTIF;admin;now
426;Halı Saha Ayakkabısı;420;AKTIF;admin;now
427;Outdoor Ayakkabı;420;AKTIF;admin;now
428;Tenis Ayakkabısı;420;AKTIF;admin;now
429;Yürüyüş Ayakkabısı;420;AKTIF;admin;now
975;Sneaker;420;AKTIF;admin;now
2722;Voleybol Ayakkabısı;420;AKTIF;admin;now
3929;Krampon;420;AKTIF;admin;now
