id;aciklama;created_by;created_date
1;Adana;admin;now
2;Adıyaman;admin;now
3;Afyonkarahisar;admin;now
4;Ağrı;admin;now
5;Amasya;admin;now
6;Ankara;admin;now
7;Antalya;admin;now
8;Artvin;admin;now
9;Aydın;admin;now
10;Balıkesir;admin;now
11;Bilecik;admin;now
12;Bingöl;admin;now
13;Bitlis;admin;now
14;Bolu;admin;now
15;Burdur;admin;now
16;Bursa;admin;now
17;Çanakkale;admin;now
18;Çankırı;admin;now
19;Çorum;admin;now
20;Denizli;admin;now
21;Diyarbakır;admin;now
22;Edirne;admin;now
23;Elazığ;admin;now
24;Erzincan;admin;now
25;Erzurum;admin;now
26;Eskişehir;admin;now
27;Gaziantep;admin;now
28;Giresun;admin;now
29;Gümüşhane;admin;now
30;Hakkari;admin;now
31;Hatay;admin;now
32;Isparta;admin;now
33;Mersin;admin;now
34;İstanbul;admin;now
35;İzmir;admin;now
36;Kars;admin;now
37;Kastamonu;admin;now
38;Kayseri;admin;now
39;Kırklareli;admin;now
40;Kırşehir;admin;now
41;Kocaeli;admin;now
42;Konya;admin;now
43;Kütahya;admin;now
44;Malatya;admin;now
45;Manisa;admin;now
46;Kahramanmaraş;admin;now
47;Mardin;admin;now
48;Muğla;admin;now
49;Muş;admin;now
50;Nevşehir;admin;now
51;Niğde;admin;now
52;Ordu;admin;now
53;Rize;admin;now
54;Sakarya;admin;now
55;Samsun;admin;now
56;Siirt;admin;now
57;Sinop;admin;now
58;Sivas;admin;now
59;Tekirdağ;admin;now
60;Tokat;admin;now
61;Trabzon;admin;now
62;Tunceli;admin;now
63;Şanlıurfa;admin;now
64;Uşak;admin;now
65;Van;admin;now
66;Yozgat;admin;now
67;Zonguldak;admin;now
68;Aksaray;admin;now
69;Bayburt;admin;now
70;Karaman;admin;now
71;Kırıkkale;admin;now
72;Batman;admin;now
73;Şırnak;admin;now
74;Bartın;admin;now
75;Ardahan;admin;now
76;Iğdır;admin;now
77;Yalova;admin;now
78;Karabük;admin;now
79;Kilis;admin;now
80;Osmaniye;admin;now
81;Düzce;admin;now
